scream314/cicada3301	https://github.com/scream314/cicada3301	157	HTML	-	2023-06-06T21:42:05Z	-
cijhho123/cicada3301	https://github.com/cijhho123/cicada3301	39	HTML	NOASSERTION	2022-04-30T07:15:04Z	Original files from the puzzles, wiki pages, media coverage, old logs and more.
krisyotam/cicada3301	https://github.com/krisyotam/cicada3301	22	HTML	GPL-3.0	2026-08-14T07:56:20Z	Complete Cicada 3301 archive, puzzles, Liber Primus, solver tools, analysis, and documentation
iBotPeaches/cicada_3301	https://github.com/iBotPeaches/cicada_3301	31	HTML	NOASSERTION	2026-08-17T10:39:18Z	A reborn collection of tools/scripts for solving the Cicada 3301 puzzle.
micheloosterhof/cicada-2016	https://github.com/micheloosterhof/cicada-2016	10	-	-	2016-01-06T05:21:44Z	Cicada 3301 2016
yo-yo-yo-jbo/cicada_tools	https://github.com/yo-yo-yo-jbo/cicada_tools	5	Python	-	2024-10-16T19:54:11Z	Cicada 3301 Python utilities
aadishgoel/Cicada-3301	https://github.com/aadishgoel/Cicada-3301	15	Python	MIT	2018-08-06T05:19:54Z	In Attempt to solve Cicada 3301 Puzzle by myself 
Arinerron/cicada3301	https://github.com/Arinerron/cicada3301	9	-	Apache-2.0	2017-09-11T05:58:02Z	a bot that allows users to perform cryptographic operations from discord
henkman/liberprimus	https://github.com/henkman/liberprimus	3	Go	-	2020-06-28T17:55:31Z	:symbols: liber primus
ProfessorJ17/Cicada3301	https://github.com/ProfessorJ17/Cicada3301	4	Python	-	2025-04-12T05:18:04Z	-
cicada-solvers/GematriaPrimusTool	https://github.com/cicada-solvers/GematriaPrimusTool	7	JavaScript	-	2021-11-07T02:23:52Z	A translator tool based off of JXlate for use with the Cicada 3301 Gematria Primus table.
RaghavPrabhakar66/Cicada-3301-Hackathon	https://github.com/RaghavPrabhakar66/Cicada-3301-Hackathon	1	JavaScript	MIT	2021-07-16T07:07:50Z	-
Pv3/Cicada3301	https://github.com/Pv3/Cicada3301	1	Python	-	2016-03-13T19:12:58Z	scripts for Cicada 3301 analysis
it5prasoon/CICADA3301_Hackathon	https://github.com/it5prasoon/CICADA3301_Hackathon	1	HTML	-	2021-05-30T03:09:13Z	This project is made for cicada-3301 hackathon.
ralphatobe/cicada-3301	https://github.com/ralphatobe/cicada-3301	1	Python	-	2018-08-10T21:43:13Z	Repository for decoding the remaining Liber Primus pages
r4nd0mD3v3l0p3r/LiberPrimusSolver	https://github.com/r4nd0mD3v3l0p3r/LiberPrimusSolver	1	JavaScript	GPL-3.0	2023-01-04T11:47:34Z	an attempt at solving Cicada 3301 Liber Primus
geomatria/CicaData	https://github.com/geomatria/CicaData	4	-	-	2020-09-16T02:36:32Z	A catalogue of Cicada 3301 files, their attributes and relationships using JSON.
Hadyn/cicada	https://github.com/Hadyn/cicada	2	HTML	-	2018-07-02T03:15:47Z	Cicada 3301 research and materials
ale64bit/cicada3301	https://github.com/ale64bit/cicada3301	2	Go	MIT	2020-07-14T21:24:07Z	A playground to experiment with cicada puzzles.
thomasandfriends/Cicada3301Runes	https://github.com/thomasandfriends/Cicada3301Runes	2	Python	-	2015-01-09T23:44:18Z	-
Pedroaruana/Cicada-3301	https://github.com/Pedroaruana/Cicada-3301	2	HTML	MIT	2026-07-10T22:53:34Z	Puzzle web interativo inspirado no Cicada 3301 — construído com Flask, esteganografia LSB, metadados EXIF e cifras clássicas.
dwip-the-dev/cicada3301-2012-map-generator	https://github.com/dwip-the-dev/cicada3301-2012-map-generator	2	Jupyter Notebook	-	2025-09-14T12:02:49Z	Map generator for cicada3301
0x676f64/Cicada-3301	https://github.com/0x676f64/Cicada-3301	2	-	-	2022-02-27T22:40:06Z	All files pertaining to the Cicada-3301 puzzle 
wurstcompany/operation-vertitus	https://github.com/wurstcompany/operation-vertitus	0	-	-	2020-11-12T17:47:38Z	Cicada 3301 
Harshpatel2222/Alumni-reinvited	https://github.com/Harshpatel2222/Alumni-reinvited	1	HTML	MIT	2021-05-30T02:45:43Z	CICADA 3301
BHQST/3301	https://github.com/BHQST/3301	1	Rich Text Format	NOASSERTION	2025-08-08T20:12:57Z	All things Cicada
TheBtkitCodingClub/btkitcodingclub.github.io	https://github.com/TheBtkitCodingClub/btkitcodingclub.github.io	0	HTML	-	2018-04-06T10:36:14Z	repo for cicada 3301
Trojax3301/Cicada-Vault	https://github.com/Trojax3301/Cicada-Vault	0	-	-	2024-10-02T21:52:51Z	3301
shilohreubenrohn-ctrl/Cicada-anonymous-puzzle	https://github.com/shilohreubenrohn-ctrl/Cicada-anonymous-puzzle	0	-	-	2025-09-15T10:37:55Z	3301
DragonDare/ByteTheBit	https://github.com/DragonDare/ByteTheBit	0	CSS	-	2021-05-29T13:54:08Z	Cicada 3301 shared repository
anonymous8117/Anonymous-	https://github.com/anonymous8117/Anonymous-	0	-	MIT	2026-04-03T19:48:57Z	Cicada 3301 - Liber Primus
sanskarjaiswal2001/Cicada-3301	https://github.com/sanskarjaiswal2001/Cicada-3301	1	HTML	-	2021-06-20T13:47:53Z	Cicada 3301 anonymous puzzle resources
cicada3301-finding/Cicada-3301-Liber-Primus	https://github.com/cicada3301-finding/Cicada-3301-Liber-Primus	1	-	-	2019-07-06T17:49:47Z	Cicada 3301 Liber Primus rune
mamafuka/Cicada3301	https://github.com/mamafuka/Cicada3301	0	-	-	2025-09-15T08:26:51Z	-
anuragc2001/cicada3301	https://github.com/anuragc2001/cicada3301	0	EJS	-	2023-12-12T14:19:39Z	-
RYSF13/cicada3301	https://github.com/RYSF13/cicada3301	0	HTML	-	2025-12-07T02:32:47Z	The full webpage snapshot of cicada3301.org in 2024
sprinter-den/cicada3301	https://github.com/sprinter-den/cicada3301	0	-	LGPL-2.1	2021-07-22T18:27:36Z	build pip
ztlw30813/cicada3301	https://github.com/ztlw30813/cicada3301	1	Python	-	2026-07-16T06:11:49Z	liber primus work
Cicada3301Reinvented/Cicada3301.github.io	https://github.com/Cicada3301Reinvented/Cicada3301.github.io	0	HTML	MIT	2021-03-27T12:34:58Z	Official website for Cicada 3301: Reinvented
TadashiHashiratani/cicada3301	https://github.com/TadashiHashiratani/cicada3301	0	-	-	2019-11-28T13:30:11Z	-
AABaderko/cicada3301	https://github.com/AABaderko/cicada3301	0	Python	-	2024-11-12T02:23:29Z	-
pigeon4242/Cicada3301	https://github.com/pigeon4242/Cicada3301	0	-	-	2025-01-05T20:54:19Z	cicada3301 arg researches
lowbee2019/Cicada3301	https://github.com/lowbee2019/Cicada3301	0	-	-	2021-11-30T01:39:28Z	-
mundanaoalgoasi/cicada3301	https://github.com/mundanaoalgoasi/cicada3301	0	-	-	2026-08-04T04:19:49Z	codigo de pagina que informa sobre el enigma en internet "cicada3301" hecho por un grupo de hackers con identidad anonima en 4chan
cicada3301-on/cicada3301	https://github.com/cicada3301-on/cicada3301	0	-	-	2021-03-23T15:35:23Z	-
MuthuRanjanA/cicada3301	https://github.com/MuthuRanjanA/cicada3301	0	Python	-	2024-04-15T18:21:01Z	-
MyoZarti22/cicada3301	https://github.com/MyoZarti22/cicada3301	0	HTML	-	2026-07-15T07:20:58Z	-
Cicada-1993-2004/Cicada3301	https://github.com/Cicada-1993-2004/Cicada3301	0	-	MIT	2021-06-15T13:43:11Z	Technology
mundanaoalgoasi/cicada3301.	https://github.com/mundanaoalgoasi/cicada3301.	0	-	-	2026-08-05T02:59:13Z	nueva actualizacion del boton este todo kaka odio javascript es muy confuso
Dukotah/cicada3301	https://github.com/Dukotah/cicada3301	1	Python	-	2026-08-19T22:05:00Z	Verifiable source of truth on the unsolved Cicada 3301 Liber Primus (LP2 pages 0-54, 12,956 runes): a rig that reproduces every known solved page, a machine-readable ledger of every attack ruled out, an oracle that adjudicates claimed solves, and plant-and-recover benchmarks. Verdict: OTP-class, NOT 'unsolvable'.
dfadbr/cicada3301	https://github.com/dfadbr/cicada3301	0	TypeScript	-	2026-05-26T09:14:22Z	-
