cicada-solvers/GematriaPrimusTool	https://github.com/cicada-solvers/GematriaPrimusTool	7	JavaScript	-	2021-11-07T02:23:52Z	A translator tool based off of JXlate for use with the Cicada 3301 Gematria Primus table.
remlong/cicada-runes	https://github.com/remlong/cicada-runes	2	-	-	2015-01-11T19:13:23Z	-
thomasandfriends/Cicada3301Runes	https://github.com/thomasandfriends/Cicada3301Runes	2	Python	-	2015-01-09T23:44:18Z	-
eonn3301/cicada	https://github.com/eonn3301/cicada	0	-	-	2014-05-09T02:49:30Z	convert latin chars to runes
emailinuse804-png/Runescicada3301	https://github.com/emailinuse804-png/Runescicada3301	0	Python	-	2026-03-22T18:37:23Z	Potential alphabet for Cicada 3301 Liber primus
dude123112414/Cicada2014_Runes	https://github.com/dude123112414/Cicada2014_Runes	0	-	-	2015-01-08T19:25:57Z	Programs to try and decipher the Liber Primus book
cicada3301-finding/Cicada-3301-Liber-Primus	https://github.com/cicada3301-finding/Cicada-3301-Liber-Primus	1	-	-	2019-07-06T17:49:47Z	Cicada 3301 Liber Primus rune
f1nsternacht/RunicAffineCipher	https://github.com/f1nsternacht/RunicAffineCipher	0	Rust	MIT	2023-04-17T23:55:19Z	brute force attack for affine cipher over cicada runes
asklepios/Cicada-runes	https://github.com/asklepios/Cicada-runes	0	-	-	2015-01-08T05:33:35Z	-
Dukotah/cicada3301	https://github.com/Dukotah/cicada3301	1	Python	-	2026-08-19T22:05:00Z	Verifiable source of truth on the unsolved Cicada 3301 Liber Primus (LP2 pages 0-54, 12,956 runes): a rig that reproduces every known solved page, a machine-readable ledger of every attack ruled out, an oracle that adjudicates claimed solves, and plant-and-recover benchmarks. Verdict: OTP-class, NOT 'unsolvable'.
seeker-it/3301-rune-to-latin	https://github.com/seeker-it/3301-rune-to-latin	0	Python	Unlicense	2025-02-18T00:00:57Z	A simple Python script that converts runes to latin characters as seen in Cicada 3301's Gematria Primus.
sasha-thecornerspore-dev/RuneSwiss	https://github.com/sasha-thecornerspore-dev/RuneSwiss	0	TypeScript	-	2026-07-25T16:58:05Z	Cryptanalysis workbench for the Cicada 3301 Liber Primus: Gematria Primus, Elder Futhark translation, every known cipher, statistical analysis, and an AI brainstorming partner. Electron desktop app.
