cicada-solvers/GematriaPrimusTool	https://github.com/cicada-solvers/GematriaPrimusTool	7	JavaScript	-	2021-11-07T02:23:52Z	A translator tool based off of JXlate for use with the Cicada 3301 Gematria Primus table.
krisyotam/cicada3301	https://github.com/krisyotam/cicada3301	22	HTML	GPL-3.0	2026-08-14T07:56:20Z	Complete Cicada 3301 archive, puzzles, Liber Primus, solver tools, analysis, and documentation
LiberPrimus/GematriaTranslator	https://github.com/LiberPrimus/GematriaTranslator	1	HTML	Apache-2.0	2023-03-06T06:52:25Z	Online tool allowing the translation between Futhark runes, English text and decimal values as per Gematria Primus
SkyZ-3301/Convertisseur	https://github.com/SkyZ-3301/Convertisseur	1	HTML	-	2025-01-09T19:11:19Z	Convertisseur Gematria Primus / Français
LiberPrimus/LiberPrimus.github.io	https://github.com/LiberPrimus/LiberPrimus.github.io	2	HTML	-	2021-07-26T20:47:25Z	Online tool allowing translation between Futhark runes, English text and decimal values as per Gematria Primus
33999777/Gematria-Primus	https://github.com/33999777/Gematria-Primus	0	-	-	2023-10-12T09:15:46Z	-
O4N4c/gematria-primus	https://github.com/O4N4c/gematria-primus	1	Python	-	2024-10-15T17:42:06Z	The Instar Emergence
Onyx-Official/Gematria-Primus-Converter	https://github.com/Onyx-Official/Gematria-Primus-Converter	0	HTML	-	2022-04-12T10:30:17Z	-
harry-sar/3301-gematria-primus-solver	https://github.com/harry-sar/3301-gematria-primus-solver	0	Python	-	2022-02-07T17:57:24Z	Solves runes in correspondence to gematria-primus.jpg reference file
seeker-it/3301-gematria	https://github.com/seeker-it/3301-gematria	0	Python	Unlicense	2025-02-18T00:08:48Z	A simple Python script that calculates the Gematria values based on Cicada 3301's Gematria Primus.
S0B0/gpsum	https://github.com/S0B0/gpsum	0	Python	-	2024-04-13T19:53:10Z	Gematria primus sum in the terminal + other useful number checks
N1-rt/lp-runes-translator	https://github.com/N1-rt/lp-runes-translator	0	Python	-	2025-05-03T17:38:32Z	A tool to translate the runes of liber primus to letters using the gematria primus table
S0B0/GPmess	https://github.com/S0B0/GPmess	0	Python	-	2023-09-21T07:40:12Z	Gematria primus sum calculator in the terminal + multiple other features + a lot of mess
AegisTrustCore/Liber-Primus-HMS-Run-Time	https://github.com/AegisTrustCore/Liber-Primus-HMS-Run-Time	0	Python	Apache-2.0	2026-08-18T00:40:45Z	Public evidence, reproducible research, and verification layer for HMS Endeavour Liber Primus work.
sasha-thecornerspore-dev/RuneSwiss	https://github.com/sasha-thecornerspore-dev/RuneSwiss	0	TypeScript	-	2026-07-25T16:58:05Z	Cryptanalysis workbench for the Cicada 3301 Liber Primus: Gematria Primus, Elder Futhark translation, every known cipher, statistical analysis, and an AI brainstorming partner. Electron desktop app.
seeker-it/3301-rune-to-latin	https://github.com/seeker-it/3301-rune-to-latin	0	Python	Unlicense	2025-02-18T00:00:57Z	A simple Python script that converts runes to latin characters as seen in Cicada 3301's Gematria Primus.
