rtkd/idkfa	https://github.com/rtkd/idkfa	22	JavaScript	ISC	2018-07-05T22:29:24Z	Liber Primus Translator
Taiiwo/cicada	https://github.com/Taiiwo/cicada	18	Python	GPL-3.0	2025-06-14T21:44:02Z	A python library for working with the Liber Primus
aautcsh/idkfa	https://github.com/aautcsh/idkfa	1	JavaScript	-	2016-01-17T03:55:59Z	Liber Primus Translator
krisyotam/cicada3301	https://github.com/krisyotam/cicada3301	22	HTML	GPL-3.0	2026-08-14T07:56:20Z	Complete Cicada 3301 archive, puzzles, Liber Primus, solver tools, analysis, and documentation
henkman/liberprimus	https://github.com/henkman/liberprimus	3	Go	-	2020-06-28T17:55:31Z	:symbols: liber primus
relikd/LiberPrayground	https://github.com/relikd/LiberPrayground	6	Python	-	2022-03-15T10:22:21Z	A Liber Primus solving playground
localavaster/cadrypt	https://github.com/localavaster/cadrypt	20	Dart	-	2023-04-14T01:13:46Z	A tool designed to assist with solving Liber Primus
r4nd0mD3v3l0p3r/LiberPrimusSolver	https://github.com/r4nd0mD3v3l0p3r/LiberPrimusSolver	1	JavaScript	GPL-3.0	2023-01-04T11:47:34Z	an attempt at solving Cicada 3301 Liber Primus
ralphatobe/cicada-3301	https://github.com/ralphatobe/cicada-3301	1	Python	-	2018-08-10T21:43:13Z	Repository for decoding the remaining Liber Primus pages
NoxxGames/LiberPrimus-GPU	https://github.com/NoxxGames/LiberPrimus-GPU	3	Python	GPL-3.0	2026-06-18T14:36:56Z	Liberprimus-gpu is a research workbench for future CUDA-accelerated Liber Primus cryptanalysis experiments
mortlach/Liber-Primus-Crib-Assist	https://github.com/mortlach/Liber-Primus-Crib-Assist	4	C++	GPL-3.0	2024-04-30T14:13:37Z	to assist cribbing the LP
ctvrty-rozmer/bruh	https://github.com/ctvrty-rozmer/bruh	3	Python	-	2021-05-08T18:53:45Z	easier access to liber primus things
cmbsolver/cmbcidada3301	https://github.com/cmbsolver/cmbcidada3301	2	C#	Apache-2.0	2026-07-11T01:56:25Z	Cidada 3301 Liber Primus Tool.
LiberPrimus/LiberPrimus.github.io	https://github.com/LiberPrimus/LiberPrimus.github.io	2	HTML	-	2021-07-26T20:47:25Z	Online tool allowing translation between Futhark runes, English text and decimal values as per Gematria Primus
cicada-solvers/Cicada-DWH-HashcatAttempts	https://github.com/cicada-solvers/Cicada-DWH-HashcatAttempts	0	Python	-	2025-10-29T23:07:00Z	A collection of hashcat tests against the Liber Primus "Deep Web Hash" and their results
Ardin516/Liber-Primus	https://github.com/Ardin516/Liber-Primus	1	HTML	-	2020-08-04T22:36:17Z	Liber Primus
dude123124144/Liber-Primus-Runes-OCR	https://github.com/dude123124144/Liber-Primus-Runes-OCR	2	Python	-	2017-05-10T02:46:22Z	OCR to get rune transcriptions from images
ztlw30813/cicada3301	https://github.com/ztlw30813/cicada3301	1	Python	-	2026-07-16T06:11:49Z	liber primus work
RabbitTone/LiberPrimus	https://github.com/RabbitTone/LiberPrimus	0	-	-	2019-05-27T22:57:44Z	This is a Repo for my Poems
IamYoddha/liber-primus	https://github.com/IamYoddha/liber-primus	0	-	Unlicense	2026-03-18T05:55:59Z	A repository comprised of all my knowledge, analysis & solving attempts of Cicada 3301's Liber Primus.
VzGarnet/Liber-Primus	https://github.com/VzGarnet/Liber-Primus	0	PHP	-	2023-12-19T09:01:15Z	-
jens-wedin/liber-primus	https://github.com/jens-wedin/liber-primus	0	Python	-	2026-08-19T19:00:25Z	-
Eternalth/Liber-Primus	https://github.com/Eternalth/Liber-Primus	1	C++	-	2025-06-05T00:23:22Z	Experimental codes for decrypting LP
a-s-aromal/Liber-Primus	https://github.com/a-s-aromal/Liber-Primus	1	-	-	2023-02-22T05:40:17Z	Portfolio
Viusthas/Liber_Primus	https://github.com/Viusthas/Liber_Primus	0	Java	-	2023-01-02T16:22:00Z	-
Independent-Intelligent-Systems/Liber-Primus	https://github.com/Independent-Intelligent-Systems/Liber-Primus	0	-	MIT	2022-05-12T13:29:57Z	Deep Reinforcement Learning experiment recommendation system
Taters79/liber_primus	https://github.com/Taters79/liber_primus	0	Rust	-	2024-12-11T19:00:47Z	Learning Rust, writing a terminal application to assist in attempting to solve the Liber Primus
krcdavis/cicada	https://github.com/krcdavis/cicada	0	Python	-	2020-09-23T23:44:31Z	cicada liber primus scripts
turkerkurun/Liber_Primus_Tool	https://github.com/turkerkurun/Liber_Primus_Tool	0	-	-	2020-01-27T20:24:14Z	Liber Primus PSD Analysis
naliferopoulos/3301	https://github.com/naliferopoulos/3301	1	Python	-	2021-03-30T14:01:45Z	3301/Liber Primus Stuff
anonymous8117/Anonymous-	https://github.com/anonymous8117/Anonymous-	0	-	MIT	2026-04-03T19:48:57Z	Cicada 3301 - Liber Primus
Skyro7777777/LiberPrimusDecoded	https://github.com/Skyro7777777/LiberPrimusDecoded	0	Python	-	2026-08-15T09:39:25Z	Decoding Liber Primus, Mysterious Pattern Book.
jeminicricket27-tech/liber-primus-decipher-app	https://github.com/jeminicricket27-tech/liber-primus-decipher-app	0	TypeScript	-	2025-12-08T20:38:48Z	Liber Primus Decipher App
cicada3301-finding/Cicada-3301-Liber-Primus	https://github.com/cicada3301-finding/Cicada-3301-Liber-Primus	1	-	-	2019-07-06T17:49:47Z	Cicada 3301 Liber Primus rune
yyyyyyyxc/Liber-Primus-Investigator3301	https://github.com/yyyyyyyxc/Liber-Primus-Investigator3301	0	-	-	2026-05-21T21:56:26Z	Tool for analyzing Liber Primus
cicada-solvers/LiberPrTools	https://github.com/cicada-solvers/LiberPrTools	0	-	-	2021-03-17T19:28:04Z	tools for decyphering Liber Primus, developed by Angelo Fiore
ekardon/liber_primus_decrytion	https://github.com/ekardon/liber_primus_decrytion	0	-	MIT	2020-02-01T02:52:53Z	-
chipper1999/liber-primus-solutions	https://github.com/chipper1999/liber-primus-solutions	0	Python	-	2026-08-07T17:20:49Z	-
Locyyx64/liber-primus-analysis	https://github.com/Locyyx64/liber-primus-analysis	0	-	-	2023-08-30T13:51:12Z	Analysing certain properties of the unsolved pages of Liber Primus (latest puzzle within Cicada 3301)
chipper1999/Liber-Primus-Solver	https://github.com/chipper1999/Liber-Primus-Solver	0	Python	-	2026-08-08T00:16:21Z	-
Taters79/liber_primus_tool	https://github.com/Taters79/liber_primus_tool	0	-	-	2025-08-14T17:39:23Z	Tool to assist attempting to decrypt the Liber Primus from Cicada 3301
Protheme-777/Liber-Primus-decoder	https://github.com/Protheme-777/Liber-Primus-decoder	1	Python	-	2026-03-20T13:23:09Z	this tool is used for decoding Liber primus
localavaster/liber_primus_finds	https://github.com/localavaster/liber_primus_finds	0	-	-	2021-03-14T23:37:28Z	-
hugvig/liber-primus-research	https://github.com/hugvig/liber-primus-research	0	Python	-	2026-08-10T01:43:53Z	-
krcdavis/cicada-tools	https://github.com/krcdavis/cicada-tools	0	Python	-	2024-05-09T23:19:55Z	Cicada 3301 Liber Primus python scripts
Taters79/LiberPrimus_CLI_Tool-Zig	https://github.com/Taters79/LiberPrimus_CLI_Tool-Zig	0	Zig	-	2025-08-14T02:22:11Z	CLI program to assist in attempting to decipher the Liber Primus
Pitchfork-and-Torch/liber-research	https://github.com/Pitchfork-and-Torch/liber-research	0	-	MIT	2026-08-18T23:55:05Z	Lab notes on Cicada 3301 Liber Primus. Hypothesis only. Not a solve.
emailinuse804-png/Runescicada3301	https://github.com/emailinuse804-png/Runescicada3301	0	Python	-	2026-03-22T18:37:23Z	Potential alphabet for Cicada 3301 Liber primus
thecornerspore-dev/rune_swiss	https://github.com/thecornerspore-dev/rune_swiss	1	Python	MIT	2024-03-13T10:41:38Z	Rune Swiss Army Knife for Liber Primus
LiberPrimus/primus.py	https://github.com/LiberPrimus/primus.py	1	Python	-	2021-08-20T08:43:52Z	A python script to help attempt decrypting the Liber Primus
artistofreap-byte/liber-primus-matrix-attack	https://github.com/artistofreap-byte/liber-primus-matrix-attack	0	-	-	2026-07-30T12:19:20Z	-
cicada-solvers/LiberPrTools-Web	https://github.com/cicada-solvers/LiberPrTools-Web	0	JavaScript	-	2021-09-05T14:57:34Z	tools for decyphering Liber Primus, developed by Angelo Fiore. Converted to a webapp
mortlach/Liber-Primus-Rune-Decrypting	https://github.com/mortlach/Liber-Primus-Rune-Decrypting	0	Python	-	2024-01-21T21:07:03Z	General methods, worked examples and test scripts for solving the Liber Primus  
Wra1th/Nebuchadnezzar	https://github.com/Wra1th/Nebuchadnezzar	0	Python	-	2023-09-17T03:58:15Z	3301 Cicada | Liber Primus | Solving Tool GP_tool
Fafison4k/cicada-3301-page32	https://github.com/Fafison4k/cicada-3301-page32	0	Python	-	2026-05-09T19:52:47Z	Инструменты для расшифровки страницы 32 Liber Primus (Cicada 3301)
AegisTrustCore/Liber-Primus-HMS-Run-Time	https://github.com/AegisTrustCore/Liber-Primus-HMS-Run-Time	0	Python	Apache-2.0	2026-08-18T00:40:45Z	Public evidence, reproducible research, and verification layer for HMS Endeavour Liber Primus work.
dude123112414/Cicada2014_Runes	https://github.com/dude123112414/Cicada2014_Runes	0	-	-	2015-01-08T19:25:57Z	Programs to try and decipher the Liber Primus book
N1-rt/lp-runes-translator	https://github.com/N1-rt/lp-runes-translator	0	Python	-	2025-05-03T17:38:32Z	A tool to translate the runes of liber primus to letters using the gematria primus table
Locyyx64/lp-cribbs	https://github.com/Locyyx64/lp-cribbs	0	Python	GPL-3.0	2024-01-04T09:02:49Z	Tool for bruteforcing the encryptions of the Liber Primus.
LiberPrimus/Failed-Attempts	https://github.com/LiberPrimus/Failed-Attempts	1	Shell	-	2021-08-07T15:06:10Z	Documenting & archiving failed attempts at decrypting the Liber Primus
neuroretransmit/liberprimus-tool	https://github.com/neuroretransmit/liberprimus-tool	1	Python	-	2024-05-04T18:32:53Z	Python tool/libraray for evolving solutions toward the Liber Primus from Cicada 3301
sgroveman/cicada3301_lp	https://github.com/sgroveman/cicada3301_lp	0	Python	GPL-3.0	2024-01-13T20:45:00Z	Dedicated to solving attempts, tools, and information about the Liber Primus
Inghenius-Lab/cicada-project	https://github.com/Inghenius-Lab/cicada-project	0	-	-	2025-07-13T17:31:56Z	Proyecto Cicada: Criptoanálisis y análisis numérico para descifrar el Liber Primus.
Nabilhamidi-cell/Anarchy-0-the-Code-of-Liber-Primus-	https://github.com/Nabilhamidi-cell/Anarchy-0-the-Code-of-Liber-Primus-	0	-	MIT	2025-12-30T11:34:53Z	While studying the Cicada 3301 Liber Primus, I applied my empirical framework anarchy = 0 to the ciphertext. The interpretation it generated aligned with the already-solved sections of the book. The resulting conceptual key suggests that anarchy = 0 corresponds to self-divinity — or, more precisely, self-sovereignty.
