page  0 best=-6.945 via ('THEPRIMESARESACRED', 'C', 1)  [   11s]
page  1 best=-6.877 via ('THEPRIMESARESACRED', 'P', 1)  [   24s]
page  2 best=-6.755 via ('PRIMES', 'P', -1)  [   31s]
page  3 best=-6.977 via ('DIUINITY', 'P', 1)  [   38s]
page  4 best=-6.987 via ('THEPRIMESARESACRED', 'P', 1)  [   53s]
page  5 best=-6.987 via ('THEPRIMESARESACRED', 'P', -1)  [   67s]
page  6 best=-6.988 via ('CIRCUMFERENCE', 'P', -1)  [   72s]
page  7 best=-6.933 via ('SACRED', 'P', 1)  [   78s]
page  8 best=-6.941 via ('SACRED', 'P', 1)  [   91s]
page  9 best=-6.927 via ('CIRCUMFERENCE', 'C', -1)  [  103s]
page 10 best=-6.879 via ('EMERGENCE', 'P', 1)  [  115s]
page 11 best=-6.961 via ('WISDOM', 'P', -1)  [  129s]
page 12 best=-6.888 via ('THEPRIMESARESACRED', 'P', 1)  [  140s]
page 13 best=-6.925 via ('WISDOM', 'P', -1)  [  155s]
page 14 best=-6.869 via ('SACRED', 'P', -1)  [  157s]
page 15 best=-6.809 via ('CIRCUMFERENCE', 'P', 1)  [  161s]
page 16 best=-6.974 via ('EMERGENCE', 'P', 1)  [  175s]
page 17 best=-6.981 via ('PILGRIM', 'P', 1)  [  189s]
page 18 best=-6.814 via ('INSTAR', 'P', 1)  [  200s]
page 19 best=-6.974 via ('SHADOW', 'P', 1)  [  216s]
page 20 best=-7.007 via ('THEPRIMESARESACRED', 'P', 1)  [  229s]
page 21 best=-7.053 via ('WISDOM', 'P', 1)  [  246s]
page 22 best=-6.751 via ('IA', 'P', -1)  [  248s]
page 23 best=-6.927 via ('DIUINITY', 'P', 1)  [  254s]
page 24 best=-6.873 via ('THEPRIMESARESACRED', 'P', -1)  [  271s]
page 25 best=-6.876 via ('PILGRIM', 'P', 1)  [  286s]
page 26 best=-7.039 via ('EMERGENCE', 'C', -1)  [  302s]
page 27 best=-6.998 via ('EMERGENCE', 'P', -1)  [  313s]
page 28 best=-6.992 via ('EMERGENCE', 'P', 1)  [  324s]
page 29 best=-6.923 via ('CIRCUMFERENCE', 'P', 1)  [  342s]
page 30 best=-6.885 via ('THEPRIMESARESACRED', 'C', 1)  [  355s]
page 31 best=-6.921 via ('CIRCUMFERENCE', 'P', -1)  [  368s]
page 32 best=-6.816 via ('B', 'P', -1)  [  369s]
page 33 best=-6.937 via ('EMERGENCE', 'C', -1)  [  376s]
page 34 best=-6.981 via ('PILGRIM', 'P', 1)  [  391s]
page 35 best=-7.021 via ('INSTAR', 'P', 1)  [  405s]
page 36 best=-6.980 via ('ANEND', 'P', -1)  [  417s]
page 37 best=-6.956 via ('PRIMES', 'P', 1)  [  428s]
page 38 best=-7.031 via ('THEPRIMESARESACRED', 'P', -1)  [  437s]
page 39 best=-6.740 via ('TOTIENT', 'P', -1)  [  447s]
page 40 best=-6.935 via ('MOBIUS', 'P', -1)  [  457s]
page 41 best=-6.916 via ('EMERGENCE', 'P', 1)  [  470s]
page 42 best=-7.020 via ('EMERGENCE', 'P', 1)  [  487s]
page 43 best=-6.890 via ('DIUINITY', 'P', 1)  [  503s]
page 44 best=-7.045 via ('MOBIUS', 'P', 1)  [  521s]
page 45 best=-6.986 via ('WISDOM', 'P', 1)  [  533s]
page 46 best=-6.912 via ('TOTIENT', 'P', -1)  [  548s]
page 47 best=-6.907 via ('EMERGENCE', 'P', 1)  [  563s]
page 48 best=-7.013 via ('THEPRIMESARESACRED', 'P', -1)  [  579s]
page 49 best=-6.627 via ('LOSS', 'C', -1)  [  580s]
page 50 best=-6.713 via ('PRIMES', 'P', -1)  [  581s]
page 51 best=-7.015 via ('PRIMES', 'P', -1)  [  594s]
page 52 best=-6.851 via ('THEPRIMESARESACRED', 'P', -1)  [  599s]
page 53 best=-6.965 via ('MOBIUS', 'P', 1)  [  608s]
page 54 best=-6.718 via ('TOTIENT', 'P', -1)  [  609s]

DONE autokey+skip. GLOBAL best=-6.627 via (49, 'LOSS', 'C', -1)  hits>-5.5: 0
NULL.
