========================================================================
NUMERIC-KEYSTREAM skip-tolerant sweep  (Campaign XVIII / numeric_skip.py)
========================================================================
Pages: [0]..[54]  (55 pages)  |  max_len=277  |  ks_len=1176
Signs: {-1,+1}  |  Atbash: {0,1}  |  Offsets: [0, 1, 2, 3, 4]
Screen: len=50 beam_w=60 thr=-6.5  |  Confirm: beam_w=200 thr=-5.5
Null-max=-6.82  |  English solve ~-4.0 to -4.35  |  Threshold=-5.5

Building keystream catalog (ks_len=1176, fib=YES) ...
  874 keystreams built in 0.3s

    #  name                             best_screen   elapsed
------------------------------------------------------------
    0  primes                                -6.299       0.9s
    3  iter_totient_d2                       -5.986       4.0s  <== NOTABLE
    7  e_digits                              -5.914       7.8s  <== NOTABLE
   10  phi_pairs                             -5.998      10.6s  <== NOTABLE
   16  fib_0_1                               -5.858      15.1s  <== NOTABLE
   20  fib_0_5                               -5.961      19.8s  <== NOTABLE
   24  fib_0_9                               -5.945      23.3s  <== NOTABLE
   27  fib_0_12                              -5.988      26.1s  <== NOTABLE
   32  fib_0_17                              -5.988      31.1s  <== NOTABLE
   35  fib_0_20                              -5.945      34.0s  <== NOTABLE
   39  fib_0_24                              -5.961      37.9s  <== NOTABLE
   43  fib_0_28                              -5.858      42.3s  <== NOTABLE
   44  fib_1_0                               -5.858      43.5s  <== NOTABLE
   45  fib_1_1                               -5.858      44.4s  <== NOTABLE
   46  fib_1_2                               -5.858      45.2s  <== NOTABLE
   49  fib_1_5                               -5.957      47.9s  <== NOTABLE
   50  fib_1_6                               -6.051      49.0s
   52  fib_1_8                               -5.866      51.1s  <== NOTABLE
   54  fib_1_10                              -5.616      53.4s  <== NOTABLE
   72  fib_1_28                              -5.858      73.2s  <== NOTABLE
   80  fib_2_7                               -5.712      81.8s  <== NOTABLE
   83  fib_2_10                              -5.966      85.6s  <== NOTABLE
   91  fib_2_18                              -5.950      95.0s  <== NOTABLE
   96  fib_2_23                              -5.986     101.4s  <== NOTABLE
  100  fib_2_27                              -6.145     106.1s
  113  fib_3_11                              -5.906     119.9s  <== NOTABLE
  115  fib_3_13                              -5.983     122.0s  <== NOTABLE
  118  fib_3_16                              -5.922     125.6s  <== NOTABLE
  124  fib_3_22                              -5.995     132.9s  <== NOTABLE
  126  fib_3_24                              -5.712     135.6s  <== NOTABLE
  127  fib_3_25                              -5.957     136.7s  <== NOTABLE
  132  fib_4_1                               -5.957     143.7s  <== NOTABLE
  137  fib_4_6                               -5.922     149.0s  <== NOTABLE
  141  fib_4_10                              -5.986     153.0s  <== NOTABLE
  148  fib_4_17                              -5.571     160.6s  <== NOTABLE
  150  fib_4_19                              -5.906     162.5s  <== NOTABLE
  151  fib_4_20                              -5.924     163.7s  <== NOTABLE
  162  fib_5_2                               -5.712     177.6s  <== NOTABLE
  165  fib_5_5                               -5.961     181.5s  <== NOTABLE
  166  fib_5_6                               -5.957     182.5s  <== NOTABLE
  169  fib_5_9                               -5.964     185.2s  <== NOTABLE
  170  fib_5_10                              -5.961     186.4s  <== NOTABLE
  174  fib_5_14                              -5.924     190.9s  <== NOTABLE
  177  fib_5_17                              -5.829     194.5s  <== NOTABLE
  193  fib_6_4                               -5.986     212.0s  <== NOTABLE
  199  fib_6_10                              -5.922     218.4s  <== NOTABLE
  200  fib_6_11                              -5.957     219.1s  <== NOTABLE
  202  fib_6_13                              -5.995     221.1s  <== NOTABLE
  204  fib_6_15                              -5.782     224.4s  <== NOTABLE
  205  fib_6_16                              -5.997     225.1s  <== NOTABLE
  210  fib_6_21                              -5.964     230.5s  <== NOTABLE
  211  fib_6_22                              -5.939     231.2s  <== NOTABLE
  219  fib_7_1                               -5.866     239.6s  <== NOTABLE
  222  fib_7_4                               -5.995     243.1s  <== NOTABLE
  227  fib_7_9                               -5.934     248.9s  <== NOTABLE
  235  fib_7_17                              -5.829     258.7s  <== NOTABLE
  237  fib_7_19                              -5.983     261.3s  <== NOTABLE
  246  fib_7_28                              -5.782     272.5s  <== NOTABLE
  249  fib_8_2                               -5.964     276.1s  <== NOTABLE
  250  fib_8_3                               -5.906     278.2s  <== NOTABLE
  256  fib_8_9                               -5.866     285.3s  <== NOTABLE
  267  fib_8_20                              -5.571     297.3s  <== NOTABLE
  269  fib_8_22                              -5.782     300.1s  <== NOTABLE
  273  fib_8_26                              -5.712     304.9s  <== NOTABLE
  274  fib_8_27                              -5.986     306.4s  <== NOTABLE
  276  fib_9_0                               -5.945     309.1s  <== NOTABLE
  277  fib_9_1                               -5.571     310.1s  <== NOTABLE
  281  fib_9_5                               -5.924     316.3s  <== NOTABLE
  282  fib_9_6                               -5.782     317.9s  <== NOTABLE
  285  fib_9_9                               -5.945     320.9s  <== NOTABLE
  290  fib_9_14                              -5.964     326.6s  <== NOTABLE
  292  fib_9_16                              -5.934     328.8s  <== NOTABLE
  293  fib_9_17                              -5.866     329.8s  <== NOTABLE
  294  fib_9_18                              -5.985     330.9s  <== NOTABLE
  296  fib_9_20                              -5.945     332.9s  <== NOTABLE
  300  fib_9_24                              -6.162     338.0s
  308  fib_10_3                              -5.983     347.3s  <== NOTABLE
  311  fib_10_6                              -5.997     350.5s  <== NOTABLE
  312  fib_10_7                              -5.829     351.8s  <== NOTABLE
  320  fib_10_15                             -5.961     360.2s  <== NOTABLE
  321  fib_10_16                             -5.922     361.8s  <== NOTABLE
