n=13381  d1: median 0.00  p90 0.00  p99 779.17  max 2153.6
  frac d1<=0.01   : 0.9079   (n above: 1232)
  frac d1<=1      : 0.9261   (n above: 989)
  frac d1<=5      : 0.9460   (n above: 722)
  frac d1<=20     : 0.9493   (n above: 678)
  frac d1<=50     : 0.9508   (n above: 659)
  frac d1<=100    : 0.9541   (n above: 614)
  frac d1<=200    : 0.9599   (n above: 536)
  frac d1<=400    : 0.9777   (n above: 298)

margin: median 117.6  p10 40.6  p1 8.3

page  n  n(d1>200)  n(d1>400)
  p0    268      6      5
  p1    267      8      8
  p2    204      6      6
  p3    243     27      9
  p4    283     19      2
  p5    283     23      6
  p6    210     17      3
  p7    225     13      4
  p8    278     17     11
  p9    291     14      6
  p10   283     12      4
  p11   291     19     11
  p12   281     17     10
  p13   294     15      7
  p14   139      6      3
  p15   150      1      1
  p16   265      2      2
  p17   269      4      4
  p18   258      2      2
  p19   270      1      1
  p20   267      2      2
  p21   271      2      2
  p22   131      0      0
  p23   213      1      1
  p24   268      2      2
  p25   273      4      2
  p26   263      2      2
  p27   230      3      3
  p28   268      1      1
  p29   274      3      3
  p30   261      2      2
  p31   267      2      2
  p32   114      0      0
  p33   215      5      5
  p34   260      1      1
  p35   269      2      2
  p36   230      0      0
  p37   218      2      2
  p38   226      2      2
  p39   241      7      7
  p40   251     21     11
  p41   290     17     11
  p42   290     16     10
  p43   308     26     13
  p44   298     23     13
  p45   295     21     11
  p46   295     21     11
  p47   299     23     13
  p48   295     24     14
  p49    68      2      2
  p50     6      4      4
  p51    97      5      3
  p52   287     22     12
  p53   197     20     14
  p54   254     17     10
  p55    40      2      0
