page comps bands |  seg runes lines | delta(page i vs seg i)
 p0     268    12 |  s0     262    12 | 6
 p1     267    12 |  s1     266    12 | 1
 p2     204    10 |  s2     201     9 | 3
 p3     243    11 |  s3     217    11 | 26
 p4     283    12 |  s4     261    12 | 22
 p5     283    12 |  s5     263    12 | 20
 p6     210     9 |  s6     196    10 | 14
 p7     225    10 |  s7     208    10 | 17
 p8     278    12 |  s8     255    12 | 23
 p9     291    12 |  s9     268    12 | 23
 p10    283    12 |  s10    263    12 | 20
 p11    291    12 |  s11    273    12 | 18
 p12    281    12 |  s12    261    12 | 20
 p13    294    12 |  s13    272    12 | 22
 p14    139     6 |  s14    137     7 | 2
 p15    150     7 |  s15    159     8 | -9
 p16    265    12 |  s16    267    12 | -2
 p17    269    12 |  s17    273    12 | -4
 p18    258    12 |  s18    260    12 | -2
 p19    270    12 |  s19    271    12 | -1
 p20    267    12 |  s20    269    12 | -2
 p21    271    12 |  s21    273    12 | -2
 p22    131     6 |  s22    131     6 | 0
 p23    213    10 |  s23    213    10 | 0
 p24    268    12 |  s24    270    12 | -2
 p25    273    12 |  s25    273    12 | 0
 p26    263    12 |  s26    265    12 | -2
 p27    230    11 |  s27    234    11 | -4
 p28    268    12 |  s28    269    12 | -1
 p29    274    12 |  s29    277    12 | -3
 p30    261    12 |  s30    263    12 | -2
 p31    267    12 |  s31    269    12 | -2
 p32    114     5 |  s32    121     6 | -7
 p33    215    11 |  s33    214    11 | 1
 p34    260    12 |  s34    261    12 | -1
 p35    269    12 |  s35    271    12 | -2
 p36    230    10 |  s36    238    11 | -8
 p37    218    10 |  s37    228    11 | -10
 p38    226    11 |  s38    228    11 | -2
 p39    241    11 |  s39    240    12 | 1
 p40    251    11 |  s40    231    11 | 20
 p41    290    12 |  s41    273    12 | 17
 p42    290    12 |  s42    272    12 | 18
 p43    308    12 |  s43    274    12 | 34
 p44    298    12 |  s44    273    12 | 25
 p45    295    12 |  s45    270    12 | 25
 p46    295    12 |  s46    270    12 | 25
 p47    299    12 |  s47    274    12 | 25
 p48    295    12 |  s48    271    12 | 24
 p49     68     3 |  s49     66     3 | 2
 p50      6     1 |  s50     92     4 | -86
 p51     97     6 |  s51    263    12 | -166
 p52    287    12 |  s52    179     9 | 108
 p53    197     9 |  s53    232    11 | -35
 p54    254    11 |  s54     76     4 | 178
 p55     40     4 |  s55     85     5 | -45

total comps 13381
canon segs 0-54 12956
