gen	lo	hi	best	bestseed	hits	secs
0	0	67108864	-13.4728	25321887	0	105.2
0	67108864	134217728	-13.4147	70332626	0	56.9
0	134217728	201326592	-13.2080	140192216	0	57.4
0	201326592	268435456	-13.3891	219289424	0	53.8
0	268435456	335544320	-13.2361	298553587	0	53.6
0	335544320	402653184	-13.2899	392614682	0	54.5
0	402653184	469762048	-13.3284	460965511	0	82.7
0	469762048	536870912	-13.3724	508859697	0	105.4
0	536870912	603979776	-13.3166	603294815	0	87.7
0	603979776	671088640	-13.3065	646179101	0	57.4
0	671088640	738197504	-13.6113	699256822	0	54.7
0	738197504	805306368	-13.4484	800455829	0	53.9
0	805306368	872415232	-13.2024	853956227	0	54.2
0	872415232	939524096	-13.4031	907039827	0	54.9
0	939524096	1006632960	-13.4317	969324560	0	52.5
0	1006632960	1073741824	-13.3602	1067920416	0	50.7
0	1073741824	1140850688	-13.4875	1105827570	0	51.4
0	1140850688	1207959552	-13.5724	1178083915	0	60.8
0	1207959552	1275068416	-13.1665	1231038179	0	59.9
0	1275068416	1342177280	-13.2685	1329482584	0	77.7
0	1342177280	1409286144	-13.4881	1353811752	0	74.0
0	1409286144	1476395008	-13.4683	1459634319	0	79.4
