gen	lo	hi	best	bestseed	hits	secs
0	0	67108864	-13.4802	64108165	0	97.7
0	67108864	134217728	-12.8840	95130097	0	83.3
0	134217728	201326592	-13.1857	162149411	0	226.4
0	201326592	268435456	-13.2590	210731104	0	229.2
0	268435456	335544320	-13.3476	333840107	0	265.3
0	335544320	402653184	-13.2605	392892102	0	151.0
0	402653184	469762048	-13.2345	414463105	0	65.5
0	469762048	536870912	-13.3952	490289992	0	67.1
0	536870912	603979776	-13.2243	594676918	0	69.0
0	603979776	671088640	-13.0349	653929171	0	61.8
0	671088640	738197504	-13.3565	711526602	0	65.2
0	738197504	805306368	-13.2394	747250042	0	71.3
0	805306368	872415232	-13.1199	834494085	0	65.4
0	872415232	939524096	-13.2661	890904362	0	57.7
0	939524096	1006632960	-13.2632	1000645030	0	68.9
0	1006632960	1073741824	-13.2889	1024263704	0	68.8
