n=12956  real IoC*29=0.99987  uniform null 0.99999+/-0.00056  -> flatness window [0.99832, 1.00166]
English runeglish plaintext IoC*29 = 1.7083

    k   rho     mean       sd      min     pred  #in window
    4  0.00  1.17909  0.06240  1.07713  1.17707      0/400
    4  0.03  1.17880  0.06107  1.04696  1.17707      0/400
    4  0.10  1.17463  0.05957  1.04071  1.17707      0/400
    4  0.30  1.17745  0.05895  1.03746  1.17707      0/400
    5  0.00  1.14534  0.04951  1.04938  1.14165      0/400
    5  0.03  1.13970  0.04316  1.05276  1.14165      0/400
    5  0.10  1.13876  0.04774  1.04880  1.14165      0/400
    5  0.30  1.14142  0.04526  1.05940  1.14165      0/400
    6  0.00  1.11967  0.04277  1.04008  1.11805      0/400
    6  0.03  1.11565  0.03754  1.03436  1.11805      0/400
    6  0.10  1.11748  0.04310  1.03121  1.11805      0/400
    6  0.30  1.12387  0.04397  1.05054  1.11805      0/400
    7  0.00  1.10112  0.03625  1.03102  1.10118      0/400
    7  0.03  1.10247  0.03580  1.02873  1.10118      0/400
    7  0.10  1.10114  0.03523  1.02690  1.10118      0/400
    7  0.30  1.10012  0.03446  1.03165  1.10118      0/400
    8  0.00  1.09291  0.03381  1.03099  1.08853      0/400
    8  0.03  1.09054  0.03344  1.02411  1.08853      0/400
    8  0.10  1.08461  0.03065  1.02736  1.08853      0/400
    8  0.30  1.08920  0.03252  1.02386  1.08853      0/400
   10  0.00  1.07497  0.02907  1.02154  1.07083      0/400
   10  0.03  1.07216  0.02605  1.01964  1.07083      0/400
   10  0.10  1.07075  0.02558  1.02026  1.07083      0/400
   10  0.30  1.07015  0.02514  1.01743  1.07083      0/400
   12  0.00  1.05905  0.02332  1.01874  1.05902      0/400
   12  0.03  1.05825  0.02143  1.01349  1.05902      0/400
   12  0.10  1.06135  0.02175  1.01627  1.05902      0/400
   12  0.30  1.05841  0.02226  1.01677  1.05902      0/400
   16  0.00  1.04394  0.01691  1.01265  1.04427      0/400
   16  0.03  1.04353  0.01661  1.01087  1.04427      0/400
   16  0.10  1.04574  0.01770  1.01367  1.04427      0/400
   16  0.30  1.04465  0.01745  1.01322  1.04427      0/400
   20  0.00  1.03525  0.01441  1.00842  1.03541      0/400
   20  0.03  1.03458  0.01293  1.00887  1.03541      0/400
   20  0.10  1.03418  0.01375  1.00938  1.03541      0/400
   20  0.30  1.03483  0.01310  1.01131  1.03541      0/400
   24  0.00  1.03007  0.01183  1.00701  1.02951      0/400
   24  0.03  1.02940  0.01103  1.00759  1.02951      0/400
   24  0.10  1.02963  0.01121  1.00717  1.02951      0/400
   24  0.30  1.02928  0.01146  1.00869  1.02951      0/400
   32  0.00  1.02223  0.00878  1.00593  1.02213      0/400
   32  0.03  1.02293  0.00922  1.00658  1.02213      0/400
   32  0.10  1.02145  0.00855  1.00524  1.02213      0/400
   32  0.30  1.02256  0.00863  1.00612  1.02213      0/400
   40  0.00  1.01739  0.00706  1.00253  1.01771      0/400
   40  0.03  1.01785  0.00759  1.00355  1.01771      0/400
