variant       start          cycle_len            tail
bash4.2       1              2147483646           45
bash4.2       2              2147483646           72
bash4.2       3301           2147483646           63
bash4.2       12345          2147483646           21
bash4.2       123459876      2147483646           46
bash4.2       1376006400     2147483646           13
bash4.2       2147483647     2147483646           47
bash4.2       4294967295     2147483646           45
bash4.2_i32   1              343896               210014
bash4.2_i32   2              343896               217731
bash4.2_i32   3301           343896               499658
bash4.2_i32   12345          343896               449724
bash4.2_i32   123459876      343896               439365
bash4.2_i32   1376006400     343896               288551
bash4.2_i32   2147483647     343896               439366
bash4.2_i32   4294967295     343896               210014
bash3.2_i32   1              4294967296           0
bash3.2_i32   2              4294967296           0
bash3.2_i32   3301           4294967296           0
bash5.0       1              2147483646           0
bash5.0       2              2147483646           0
bash5.0       3301           2147483646           0
